Name	Errors
MINdCH2	524
MINssCH2	94
MINtCH	524
MINdsCH	441
MINaaCH	99
MINsssCH	234
MINddC	529
MINtsC	514
MINdssC	159
MINaasC	96
MINaaaC	433
MINssssC	389
MINsNH3	529
MINsNH2	412
MINssNH2	529
MINdNH	516
MINssNH	288
MINaaNH	528
MINtN	519
MINsssNH	529
MINdsN	499
MINaaN	376
MINsssN	308
MINddsN	529
MINaasN	466
MINssssN	517
MINsOH	248
MINdO	149
MINssO	298
MINaaO	488
MINsF	471
MINsSiH3	529
MINssSiH2	529
MINsssSiH	529
MINssssSi	529
MINsPH2	529
MINssPH	529
MINsssP	529
MINdsssP	525
MINsssssP	529
MINsSH	524
MINdS	523
MINssS	489
MINaaS	510
MINdssS	529
MINddssS	472
MINsCl	444
MINsGeH3	529
MINssGeH2	529
MINsssGeH	529
MINssssGe	529
MINsAsH2	529
MINssAsH	529
MINsssAs	529
MINsssdAs	529
MINsssssAs	529
MINsSeH	529
MINdSe	529
MINssSe	529
MINaaSe	529
MINdssSe	529
MINddssSe	529
MINsBr	524
MINsSnH3	529
MINssSnH2	529
MINsssSnH	529
MINssssSn	529
MINsI	523
MINsPbH3	529
MINssPbH2	529
MINsssPbH	529
MINssssPb	529
GeomShapeIndex	529
GeomPetitjeanIndex	529
GRAV	529
GRAVH	529
GRAVp	529
GRAVHp	529
Mor02	529
Mor03	529
Mor04	529
Mor05	529
Mor06	529
Mor07	529
Mor08	529
Mor09	529
Mor10	529
Mor11	529
Mor12	529
Mor13	529
Mor14	529
Mor15	529
Mor16	529
Mor17	529
Mor18	529
Mor19	529
Mor20	529
Mor21	529
Mor22	529
Mor23	529
Mor24	529
Mor25	529
Mor26	529
Mor27	529
Mor28	529
Mor29	529
Mor30	529
Mor31	529
Mor32	529
Mor02m	529
Mor03m	529
Mor04m	529
Mor05m	529
Mor06m	529
Mor07m	529
Mor08m	529
Mor09m	529
Mor10m	529
Mor11m	529
Mor12m	529
Mor13m	529
Mor14m	529
Mor15m	529
Mor16m	529
Mor17m	529
Mor18m	529
Mor19m	529
Mor20m	529
Mor21m	529
Mor22m	529
Mor23m	529
Mor24m	529
Mor25m	529
Mor26m	529
Mor27m	529
Mor28m	529
Mor29m	529
Mor30m	529
Mor31m	529
Mor32m	529
Mor02v	529
Mor03v	529
Mor04v	529
Mor05v	529
Mor06v	529
Mor07v	529
Mor08v	529
Mor09v	529
Mor10v	529
Mor11v	529
Mor12v	529
Mor13v	529
Mor14v	529
Mor15v	529
Mor16v	529
Mor17v	529
Mor18v	529
Mor19v	529
Mor20v	529
Mor21v	529
Mor22v	529
Mor23v	529
Mor24v	529
Mor25v	529
Mor26v	529
Mor27v	529
Mor28v	529
Mor29v	529
Mor30v	529
Mor31v	529
Mor32v	529
Mor02se	529
Mor03se	529
Mor04se	529
Mor05se	529
Mor06se	529
Mor07se	529
Mor08se	529
Mor09se	529
Mor10se	529
Mor11se	529
Mor12se	529
Mor13se	529
Mor14se	529
Mor15se	529
Mor16se	529
Mor17se	529
Mor18se	529
Mor19se	529
Mor20se	529
Mor21se	529
Mor22se	529
Mor23se	529
Mor24se	529
Mor25se	529
Mor26se	529
Mor27se	529
Mor28se	529
Mor29se	529
Mor30se	529
Mor31se	529
Mor32se	529
Mor02p	529
Mor03p	529
Mor04p	529
Mor05p	529
Mor06p	529
Mor07p	529
Mor08p	529
Mor09p	529
Mor10p	529
Mor11p	529
Mor12p	529
Mor13p	529
Mor14p	529
Mor15p	529
Mor16p	529
Mor17p	529
Mor18p	529
Mor19p	529
Mor20p	529
Mor21p	529
Mor22p	529
Mor23p	529
Mor24p	529
Mor25p	529
Mor26p	529
Mor27p	529
Mor28p	529
Mor29p	529
Mor30p	529
Mor31p	529
Mor32p	529
MDEC-11	262
MDEC-12	135
MDEC-13	131
MDEC-14	404
MDEC-22	19
MDEC-24	392
MDEC-33	20
MDEC-34	390
MDEC-44	481
MDEO-11	191
MDEO-12	297
MDEO-22	436
MDEN-11	504
MDEN-12	445
MDEN-13	480
MDEN-22	360
MDEN-23	352
MDEN-33	429
